"wallet_alias","wallet_address","from_balance","to_balance","from_token_address","to_token_address","assign_group","selected","lastUpdatedOn"
"test_wallet","CjzfaJTfVPWbNp9BRMT23S24tvjTT91qXnEV4VAgGAy3","0.015060","3.482522","So11111111111111111111111111111111111111112","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","","yes","""2025-02-01 22:57:32"""
"test_wallet2","8V1nPfRpSBKrDePqRv6B9mCBrn9EZ2Q5hxXPJ6upYqLi","0.138321","13.903626","So11111111111111111111111111111111111111112","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","","yes","""2025-02-01 22:57:32"""
