wallet_alias,wallet_address,from_token_address,to_token_address,from_balance_before_execute,to_balance_before_execute,pct_of_balance,coin_amount,delay_seconds,slippage_in_pct
test_wallet,CjzfaJTfVPWbNp9BRMT23S24tvjTT91qXnEV4VAgGAy3,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.018096,2.897764,2.34%,0.000424,5,20
test_wallet2,8V1nPfRpSBKrDePqRv6B9mCBrn9EZ2Q5hxXPJ6upYqLi,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.152806,10.546753,2.34%,0.003576,5,20
