wallet_alias,wallet_address,from_token_address,to_token_address,from_balance_before_execute,to_balance_before_execute,pct_of_balance,coin_amount,delay_seconds,slippage_in_pct,transaction_id,status
test_wallet,CjzfaJTfVPWbNp9BRMT23S24tvjTT91qXnEV4VAgGAy3,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.015479,3.39856,2.54%,0.000393,5,20,129sEoZ4pkEDTxiv9rpw7emqxQPVoo6JtfHNrahYewbjXVZjsHTbWMe9ETwawbQ5y51aSdy9DZBXmLdkdoq14f4D,success
test_wallet2,8V1nPfRpSBKrDePqRv6B9mCBrn9EZ2Q5hxXPJ6upYqLi,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.141948,13.132571,2.54%,0.003607,5,20,23BvMr5VYebQLKXDRNeMDZZt2qknYR7dvzJvVaLYDzYk3WQ4Bfp8JpsRHp1QnjR8hAZyP5Frx21Cktm3pj53EW2R,success
