wallet_alias,wallet_address,from_token_address,to_token_address,from_balance_before_execute,to_balance_before_execute,pct_of_balance,coin_amount,delay_seconds,slippage_in_pct,transaction_id,status
test_wallet,CjzfaJTfVPWbNp9BRMT23S24tvjTT91qXnEV4VAgGAy3,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.01598,3.303114,2.48%,0.000396,5,20,3EH7eD7YE3TLKLnNRqast3LQHVUPzggLPcdY1JcmWwvcQPBenG97NRqDtoQiQw95e24tDLenXsnuTJFTv1XEmNcp,success
test_wallet2,8V1nPfRpSBKrDePqRv6B9mCBrn9EZ2Q5hxXPJ6upYqLi,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.145339,12.263244,2.48%,0.003604,5,20,5n31o93m1XnCPBxYDrHqV8cEumipUQxmtFhpQ6cM9ozDpkuMAfDvLbBzkyC8GGwqrZhTX61kkqx4YVTYWWWUF1Ay,success
