wallet_alias,wallet_address,from_token_address,to_token_address,from_balance_before_execute,to_balance_before_execute,pct_of_balance,coin_amount,delay_seconds,slippage_in_pct,transaction_id,status
test_wallet2,8V1nPfRpSBKrDePqRv6B9mCBrn9EZ2Q5hxXPJ6upYqLi,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.2,0.0,2.0%,0.004,5,20,CYPGp1DqUVYeMaP8eUJL8wji3Gx9FmaeNbxbjJbbAxrPeG3mFVcrKc85MVbrMXwPStVPR8ugtFhDWj1KB5Dube4,success
test_wallet2,8V1nPfRpSBKrDePqRv6B9mCBrn9EZ2Q5hxXPJ6upYqLi,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.2,0.0,2.0%,0.004,5,20,561K4xPJStJWM3DWjt5fkKrbhyEoT7syKmkyz8JgCXRc1GSBNGcHPz9sepeHLehBzYFVyhMBEpQ5oBvRnScK8xBp,success
